TR_CEDAR_FIRST_000001 | Original synthetic cedar relay protocol observations.
0002 | relay=cedar_2 | phase=committed | sequence=26 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0003 | relay=cedar_3 | phase=acknowledged | sequence=39 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0004 | relay=cedar_4 | phase=queued | sequence=52 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0005 | relay=cedar_5 | phase=validated | sequence=65 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0006 | relay=cedar_6 | phase=committed | sequence=78 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0007 | relay=cedar_7 | phase=acknowledged | sequence=91 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0008 | relay=cedar_8 | phase=queued | sequence=104 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0009 | relay=cedar_9 | phase=validated | sequence=117 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0010 | relay=cedar_10 | phase=committed | sequence=130 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0011 | relay=cedar_11 | phase=acknowledged | sequence=143 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0012 | relay=cedar_12 | phase=queued | sequence=156 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0013 | relay=cedar_13 | phase=validated | sequence=169 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
0014 | relay=cedar_14 | phase=committed | sequence=182 | window=15 | note=Keep the prior receipt until the next checkpoint is confirmed.
0015 | relay=cedar_15 | phase=acknowledged | sequence=195 | window=16 | note=Keep the prior receipt until the next checkpoint is confirmed.
0016 | relay=cedar_16 | phase=queued | sequence=208 | window=17 | note=Keep the prior receipt until the next checkpoint is confirmed.
0017 | relay=cedar_0 | phase=validated | sequence=221 | window=18 | note=Keep the prior receipt until the next checkpoint is confirmed.
0018 | relay=cedar_1 | phase=committed | sequence=234 | window=19 | note=Keep the prior receipt until the next checkpoint is confirmed.
0019 | relay=cedar_2 | phase=acknowledged | sequence=247 | window=20 | note=Keep the prior receipt until the next checkpoint is confirmed.
0020 | relay=cedar_3 | phase=queued | sequence=260 | window=21 | note=Keep the prior receipt until the next checkpoint is confirmed.
0021 | relay=cedar_4 | phase=validated | sequence=273 | window=22 | note=Keep the prior receipt until the next checkpoint is confirmed.
0022 | relay=cedar_5 | phase=committed | sequence=286 | window=23 | note=Keep the prior receipt until the next checkpoint is confirmed.
0023 | relay=cedar_6 | phase=acknowledged | sequence=299 | window=1 | note=Keep the prior receipt until the next checkpoint is confirmed.
0024 | relay=cedar_7 | phase=queued | sequence=312 | window=2 | note=Keep the prior receipt until the next checkpoint is confirmed.
0025 | relay=cedar_8 | phase=validated | sequence=325 | window=3 | note=Keep the prior receipt until the next checkpoint is confirmed.
0026 | relay=cedar_9 | phase=committed | sequence=338 | window=4 | note=Keep the prior receipt until the next checkpoint is confirmed.
0027 | relay=cedar_10 | phase=acknowledged | sequence=351 | window=5 | note=Keep the prior receipt until the next checkpoint is confirmed.
0028 | relay=cedar_11 | phase=queued | sequence=364 | window=6 | note=Keep the prior receipt until the next checkpoint is confirmed.
0029 | relay=cedar_12 | phase=validated | sequence=377 | window=7 | note=Keep the prior receipt until the next checkpoint is confirmed.
0030 | relay=cedar_13 | phase=committed | sequence=390 | window=8 | note=Keep the prior receipt until the next checkpoint is confirmed.
0031 | relay=cedar_14 | phase=acknowledged | sequence=403 | window=9 | note=Keep the prior receipt until the next checkpoint is confirmed.
0032 | relay=cedar_15 | phase=queued | sequence=416 | window=10 | note=Keep the prior receipt until the next checkpoint is confirmed.
0033 | relay=cedar_16 | phase=validated | sequence=429 | window=11 | note=Keep the prior receipt until the next checkpoint is confirmed.
0034 | relay=cedar_0 | phase=committed | sequence=442 | window=12 | note=Keep the prior receipt until the next checkpoint is confirmed.
0035 | relay=cedar_1 | phase=acknowledged | sequence=455 | window=13 | note=Keep the prior receipt until the next checkpoint is confirmed.
0036 | relay=cedar_2 | phase=queued | sequence=468 | window=14 | note=Keep the prior receipt until the next checkpoint is confirmed.
